round,train_loss,test_acc
0,4.326,10.000
1,2.488,10.000
2,2.206,10.000
3,2.073,11.020
4,2.004,10.240
5,1.918,11.210
6,1.863,10.050
7,1.816,10.000
8,1.802,10.000
9,1.738,10.000
10,1.713,10.000
11,1.672,10.000
12,1.656,10.220
13,1.609,10.040
14,1.601,10.000
15,1.606,10.000
16,1.568,10.050
17,1.518,10.000
18,1.527,10.000
19,1.504,10.000
20,1.496,10.000
21,1.475,10.080
22,1.458,10.000
23,1.416,10.010
24,1.425,10.000
25,1.410,10.010
26,1.409,10.110
27,1.383,10.340
28,1.363,11.800
29,1.327,11.600
30,1.326,11.330
31,1.300,14.230
32,1.273,18.400
33,1.268,15.530
34,1.251,21.270
35,1.218,53.920
36,1.233,27.550
37,1.188,33.420
38,1.158,30.520
39,1.161,27.770
40,1.116,27.730
41,1.127,31.110
42,1.096,40.890
43,1.105,31.600
44,1.054,60.080
45,1.097,43.380
46,1.036,60.660
47,1.037,52.310
48,1.014,50.140
49,1.003,43.500
50,0.971,54.340
51,0.958,56.870
52,0.974,46.270
53,0.978,40.360
54,0.938,55.870
55,0.915,48.380
56,0.930,63.820
57,0.942,58.010
58,0.897,59.700
59,0.882,61.510
