round,constraint_set,alpha_feasible,max_feasible_A,radial_ratio,sign_ratio,limiting_constraint,boundary_left,boundary_right,last_feasible_A,first_infeasible_A
0,radial_only,1.0,9901.056640625,1.0,,none,1.0,,9901.056640625,
0,sign_only,0.0030670166015625,30.366695404052734,,0.9986234903335571,sign,0.0030670166015625,0.0030870166015625,30.366695404052734,30.564720153808594
0,radial+sign,0.0030670166015625,30.366695404052734,0.0030670166015625,0.9986234903335571,sign,0.0030670166015625,0.0030870166015625,30.366695404052734,30.564720153808594
20,radial_only,1.0,156.5293731689453,1.0,,none,1.0,,156.5293731689453,
20,sign_only,0.00917816162109375,1.4366523027420044,,0.9988800883293152,sign,0.00917816162109375,0.00919816162109375,1.4366523027420044,1.439782738685608
20,radial+sign,0.00917816162109375,1.4366523027420044,0.00917816162109375,0.9988800883293152,sign,0.00917816162109375,0.00919816162109375,1.4366523027420044,1.439782738685608
40,radial_only,1.0,749.4781494140625,1.0000001192092896,,none,1.0,,749.4781494140625,
40,sign_only,0.00110626220703125,0.8291191458702087,,0.9922809600830078,sign,0.00110626220703125,0.00112626220703125,0.8291191458702087,0.8441091179847717
40,radial+sign,0.00110626220703125,0.8291191458702087,0.0011062623234465718,0.9922809600830078,sign,0.00110626220703125,0.00112626220703125,0.8291191458702087,0.8441091179847717
59,radial_only,1.0,1838.9586181640625,1.0,,none,1.0,,1838.9586181640625,
59,sign_only,0.0003814697265625,0.7015069127082825,,0.9895169138908386,sign,0.0003814697265625,0.0004014697265625,0.7015069127082825,0.7382857203483582
59,radial+sign,0.0003814697265625,0.7015069127082825,0.0003814697265625,0.9895169138908386,sign,0.0003814697265625,0.0004014697265625,0.7015069127082825,0.7382857203483582
