mode,round,train_loss,test_acc,alpha_feasible,alpha_init,selected_A,selected_R,selected_CV,selected_guidance_alignment,limiting_constraint,boundary_left,boundary_right
strict,0,4.326,10.000,0.003067,0.003067,12.146654,0.915963,0.000000,1.000000,sign,radial:ratio=0.00306702:score=0.996942:violation=0|sign:ratio=0.998623:score=0.500344:violation=0,radial:ratio=0.00307465:score=0.996935:violation=0|sign:ratio=1.00129:score=0.499677:violation=0.00129378
strict,1,2.488,10.000,0.006050,0.006050,3.847711,0.855714,0.000000,1.000000,sign,radial:ratio=0.00605011:score=0.993986:violation=0|sign:ratio=0.998786:score=0.500304:violation=0,radial:ratio=0.00605774:score=0.993979:violation=0|sign:ratio=1.00048:score=0.49988:violation=0.000481725
strict,2,2.206,10.000,0.012161,0.012161,2.461085,0.855052,0.000000,1.000000,sign,radial:ratio=0.0121613:score=0.987985:violation=0|sign:ratio=0.999545:score=0.500114:violation=0,radial:ratio=0.0121689:score=0.987977:violation=0|sign:ratio=1.00046:score=0.499885:violation=0.000460982
strict,3,2.073,11.020,0.013084,0.013084,1.465563,0.847917,0.000000,1.000000,sign,radial:ratio=0.0130844:score=0.987085:violation=0|sign:ratio=0.999341:score=0.500165:violation=0,radial:ratio=0.013092:score=0.987077:violation=0|sign:ratio=1.00001:score=0.499998:violation=7.15256e-06
strict,4,2.004,10.240,0.016090,0.016090,1.348411,0.855583,0.000000,1.000000,sign,radial:ratio=0.0160904:score=0.984164:violation=0|sign:ratio=0.999987:score=0.500003:violation=0,radial:ratio=0.016098:score=0.984157:violation=0|sign:ratio=1.00089:score=0.499778:violation=0.000889778
strict,5,1.918,11.210,0.005409,0.005409,0.512256,0.854137,0.000000,1.000000,sign,radial:ratio=0.00540924:score=0.99462:violation=0|sign:ratio=0.999279:score=0.50018:violation=0,radial:ratio=0.00541687:score=0.994612:violation=0|sign:ratio=1.00105:score=0.499739:violation=0.00104558
strict,6,1.863,10.050,0.013618,0.013618,0.833200,0.853271,0.000000,1.000000,sign,radial:ratio=0.0136185:score=0.986565:violation=0|sign:ratio=0.999639:score=0.50009:violation=0,radial:ratio=0.0136261:score=0.986557:violation=0|sign:ratio=1.0004:score=0.499899:violation=0.000403643
strict,7,1.816,10.000,0.013496,0.013496,0.961995,0.853500,0.000000,1.000000,sign,radial:ratio=0.0134964:score=0.986683:violation=0|sign:ratio=0.99938:score=0.500155:violation=0,radial:ratio=0.013504:score=0.986676:violation=0|sign:ratio=1.00011:score=0.499974:violation=0.000105619
strict,8,1.802,10.000,0.012947,0.012947,1.001873,0.852895,0.000000,1.000000,sign,radial:ratio=0.0129471:score=0.987218:violation=0|sign:ratio=0.999691:score=0.500077:violation=0,radial:ratio=0.0129547:score=0.987211:violation=0|sign:ratio=1.00049:score=0.499877:violation=0.000490069
strict,9,1.738,10.000,0.012299,0.012299,0.857370,0.852401,0.000000,1.000000,sign,radial:ratio=0.0122986:score=0.987851:violation=0|sign:ratio=0.999174:score=0.500207:violation=0,radial:ratio=0.0123062:score=0.987843:violation=0|sign:ratio=1.00013:score=0.499967:violation=0.000130296
strict,10,1.713,10.000,0.008987,0.008987,0.948348,0.854593,0.000000,1.000000,sign,radial:ratio=0.00898743:score=0.991093:violation=0|sign:ratio=0.99994:score=0.500015:violation=0,radial:ratio=0.00899506:score=0.991085:violation=0|sign:ratio=1.00105:score=0.499739:violation=0.00104594
strict,11,1.672,10.000,0.010780,0.010780,0.863674,0.853889,0.000000,1.000000,sign,radial:ratio=0.0107803:score=0.989335:violation=0|sign:ratio=0.999394:score=0.500152:violation=0,radial:ratio=0.010788:score=0.989327:violation=0|sign:ratio=1.00041:score=0.499898:violation=0.000406265
strict,12,1.656,10.220,0.011147,0.011147,0.544553,0.932050,0.000000,1.000000,sign,radial:ratio=0.0111465:score=0.988976:violation=0|sign:ratio=0.999657:score=0.500086:violation=0,radial:ratio=0.0111542:score=0.988969:violation=0|sign:ratio=1.00053:score=0.499867:violation=0.000533342
strict,13,1.609,10.040,0.011032,0.011032,0.864738,0.850203,0.000000,1.000000,sign,radial:ratio=0.0110321:score=0.989088:violation=0|sign:ratio=0.999821:score=0.500045:violation=0,radial:ratio=0.0110397:score=0.989081:violation=0|sign:ratio=1.00063:score=0.499842:violation=0.000633478
strict,14,1.601,10.000,0.009895,0.009895,0.988249,0.853132,0.000000,1.000000,sign,radial:ratio=0.00989532:score=0.990202:violation=0|sign:ratio=0.999856:score=0.500036:violation=0,radial:ratio=0.00990295:score=0.990194:violation=0|sign:ratio=1.00087:score=0.499782:violation=0.000871539
strict,15,1.606,10.000,0.013779,0.013779,1.166865,0.854549,0.000000,1.000000,sign,radial:ratio=0.0137787:score=0.986409:violation=0|sign:ratio=0.99996:score=0.50001:violation=0,radial:ratio=0.0137863:score=0.986401:violation=0|sign:ratio=1.00081:score=0.499798:violation=0.000806808
strict,16,1.568,10.050,0.012993,0.012993,0.600057,0.924843,0.000000,1.000000,sign,radial:ratio=0.0129929:score=0.987174:violation=0|sign:ratio=0.9996:score=0.5001:violation=0,radial:ratio=0.0130005:score=0.987166:violation=0|sign:ratio=1.00054:score=0.499864:violation=0.000543118
strict,17,1.518,10.000,0.013924,0.013924,1.030380,0.851707,0.000000,1.000000,sign,radial:ratio=0.0139236:score=0.986268:violation=0|sign:ratio=0.999661:score=0.500085:violation=0,radial:ratio=0.0139313:score=0.98626:violation=0|sign:ratio=1.00041:score=0.499898:violation=0.000406146
strict,18,1.527,10.000,0.011177,0.011177,1.165870,0.856801,0.000000,1.000000,sign,radial:ratio=0.0111771:score=0.988946:violation=0|sign:ratio=0.999253:score=0.500187:violation=0,radial:ratio=0.0111847:score=0.988939:violation=0|sign:ratio=1.00028:score=0.499931:violation=0.000277877
strict,19,1.504,10.000,0.008171,0.008171,1.070665,0.857912,0.000000,1.000000,sign,radial:ratio=0.00817108:score=0.991895:violation=0|sign:ratio=0.998698:score=0.500326:violation=0,radial:ratio=0.00817871:score=0.991888:violation=0|sign:ratio=1.00014:score=0.499964:violation=0.00014329
strict,20,1.496,10.000,0.009178,0.009178,1.149314,0.855019,0.000000,1.000000,sign,radial:ratio=0.00917816:score=0.990905:violation=0|sign:ratio=0.99888:score=0.50028:violation=0,radial:ratio=0.00918579:score=0.990898:violation=0|sign:ratio=1.00009:score=0.499979:violation=8.58307e-05
strict,21,1.475,10.080,0.008049,0.008049,1.161057,0.859307,0.000000,1.000000,sign,radial:ratio=0.00804901:score=0.992015:violation=0|sign:ratio=0.999274:score=0.500182:violation=0,radial:ratio=0.00805664:score=0.992008:violation=0|sign:ratio=1.00073:score=0.499817:violation=0.000731587
strict,22,1.458,10.000,0.007072,0.007072,1.002243,0.857406,0.000000,1.000000,sign,radial:ratio=0.00707245:score=0.992977:violation=0|sign:ratio=0.999446:score=0.500139:violation=0,radial:ratio=0.00708008:score=0.99297:violation=0|sign:ratio=1.00099:score=0.499752:violation=0.000994444
strict,23,1.416,10.010,0.006912,0.006912,1.074819,0.854665,0.000000,1.000000,sign,radial:ratio=0.00691223:score=0.993135:violation=0|sign:ratio=0.999931:score=0.500017:violation=0,radial:ratio=0.00691986:score=0.993128:violation=0|sign:ratio=1.00131:score=0.499672:violation=0.00131416
strict,24,1.425,10.000,0.005257,0.005257,1.039461,0.857656,0.000000,1.000000,sign,radial:ratio=0.00525665:score=0.994771:violation=0|sign:ratio=0.998695:score=0.500327:violation=0,radial:ratio=0.00526428:score=0.994763:violation=0|sign:ratio=1.00072:score=0.49982:violation=0.000721931
strict,25,1.410,10.010,0.005859,0.005859,1.091586,0.860038,0.000000,1.000000,sign,radial:ratio=0.00585938:score=0.994175:violation=0|sign:ratio=0.999202:score=0.5002:violation=0,radial:ratio=0.005867:score=0.994167:violation=0|sign:ratio=1.00119:score=0.499703:violation=0.00119042
strict,26,1.409,10.110,0.004143,0.004143,0.983366,0.854915,0.000000,1.000000,sign,radial:ratio=0.00414276:score=0.995874:violation=0|sign:ratio=0.99991:score=0.500023:violation=0,radial:ratio=0.00415039:score=0.995867:violation=0|sign:ratio=1.00245:score=0.499389:violation=0.00244594
strict,27,1.383,10.340,0.002914,0.002914,0.927769,0.860182,0.000000,1.000000,sign,radial:ratio=0.00291443:score=0.997094:violation=0|sign:ratio=0.998028:score=0.500493:violation=0,radial:ratio=0.00292206:score=0.997086:violation=0|sign:ratio=1.002:score=0.4995:violation=0.00200057
strict,28,1.363,11.800,0.003189,0.003189,0.805438,0.858609,0.000000,1.000000,sign,radial:ratio=0.00318909:score=0.996821:violation=0|sign:ratio=0.998056:score=0.500486:violation=0,radial:ratio=0.00319672:score=0.996813:violation=0|sign:ratio=1.00139:score=0.499652:violation=0.00139356
