round,train_loss,test_acc,num_malicious,attack_ratio,current_budget,alpha_feasible,adaptive_scales,selected_A,selected_R,selected_CV,selected_feasible,selected_budget_ratio,selected_guidance_alignment,max_feasible_A,final_front_size,final_feasible_count
0,4.326,10.000,4,0.16,9901.058594,0.002930,"[0.0, 0.0005859375000000001, 0.0011718750000000002, 0.0017578124999999998, 0.0023437500000000003, 0.0029296875]",29.221,0.819,0.0000,True,0.028674,0.102926,34.003,10,10
1,3.385,10.000,7,0.28,3570.123047,0.000977,"[0.0, 0.0001953125, 0.000390625, 0.0005859375, 0.00078125, 0.0009765625]",2.789,0.915,0.0000,True,0.000781,1.000000,3.763,10,10
2,2.298,17.460,5,0.2,439.310364,0.002930,"[0.0, 0.0005859375000000001, 0.0011718750000000002, 0.0017578124999999998, 0.0023437500000000003, 0.0029296875]",1.030,0.878,0.0000,True,0.002344,1.000000,1.515,10,10
3,2.108,18.250,5,0.2,253.083542,0.003906,"[0.0, 0.00078125, 0.0015625, 0.00234375, 0.003125, 0.00390625]",0.791,0.855,0.0000,True,0.003125,1.000000,1.092,10,10
4,2.028,22.630,7,0.28,271.515076,0.001953,"[0.0, 0.000390625, 0.00078125, 0.001171875, 0.0015625, 0.001953125]",0.424,0.868,0.0000,True,0.001563,1.000000,0.597,10,10
5,1.981,25.100,5,0.2,214.671494,0.001953,"[0.0, 0.000390625, 0.00078125, 0.001171875, 0.0015625, 0.001953125]",0.335,0.893,0.0000,True,0.001563,1.000000,0.479,10,10
6,1.945,22.770,6,0.24,220.742737,0.002930,"[0.0, 0.0005859375000000001, 0.0011718750000000002, 0.0017578124999999998, 0.0023437500000000003, 0.0029296875]",0.517,0.863,0.0000,True,0.002344,1.000000,0.688,10,10
7,1.914,21.910,3,0.12,254.660980,0.002930,"[0.0, 0.0005859375000000001, 0.0011718750000000002, 0.0017578124999999998, 0.0023437500000000003, 0.0029296875]",0.597,0.866,0.0000,True,0.002344,1.000000,0.806,10,10
8,1.870,27.390,8,0.32,272.551880,0.001953,"[0.0, 0.000390625, 0.00078125, 0.001171875, 0.0015625, 0.001953125]",0.426,0.906,0.0000,True,0.001563,1.000000,0.594,10,10
9,1.814,24.520,8,0.32,244.427734,0.002930,"[0.0, 0.0005859375000000001, 0.0011718750000000002, 0.0017578124999999998, 0.0023437500000000003, 0.0029296875]",0.573,0.876,0.0000,True,0.002344,1.000000,0.813,10,10
10,1.783,22.210,8,0.32,291.136627,0.002930,"[0.0, 0.0005859375000000001, 0.0011718750000000002, 0.0017578124999999998, 0.0023437500000000003, 0.0029296875]",0.682,0.865,0.0000,True,0.002344,1.000000,0.920,10,10
11,1.725,27.710,6,0.24,318.711090,0.001953,"[0.0, 0.000390625, 0.00078125, 0.001171875, 0.0015625, 0.001953125]",0.498,0.885,0.0000,True,0.001563,1.000000,0.692,10,10
12,1.706,29.190,3,0.12,339.303497,0.001953,"[0.0, 0.000390625, 0.00078125, 0.001171875, 0.0015625, 0.001953125]",0.530,0.892,0.0000,True,0.001563,1.000000,0.753,10,10
13,1.687,34.030,2,0.08,364.323029,0.001953,"[0.0, 0.000390625, 0.00078125, 0.001171875, 0.0015625, 0.001953125]",0.569,0.871,0.0000,True,0.001563,1.000000,0.773,10,10
14,1.663,33.270,3,0.12,278.389465,0.001953,"[0.0, 0.000390625, 0.00078125, 0.001171875, 0.0015625, 0.001953125]",0.435,0.883,0.0000,True,0.001563,1.000000,0.616,10,10
15,1.629,35.310,8,0.32,277.855377,0.001953,"[0.0, 0.000390625, 0.00078125, 0.001171875, 0.0015625, 0.001953125]",0.434,0.882,0.0000,True,0.001563,1.000000,0.607,10,10
16,1.631,33.970,10,0.4,298.090485,0.001953,"[0.0, 0.000390625, 0.00078125, 0.001171875, 0.0015625, 0.001953125]",0.466,0.887,0.0000,True,0.001563,1.000000,0.658,10,10
17,1.575,34.190,4,0.16,338.076385,0.001953,"[0.0, 0.000390625, 0.00078125, 0.001171875, 0.0015625, 0.001953125]",0.528,0.870,0.0000,True,0.001563,1.000000,0.736,10,10
18,1.557,35.530,4,0.16,338.520538,0.001953,"[0.0, 0.000390625, 0.00078125, 0.001171875, 0.0015625, 0.001953125]",0.529,0.875,0.0000,True,0.001563,1.000000,0.740,10,10
19,1.537,41.700,7,0.28,362.568481,0.000977,"[0.0, 0.0001953125, 0.000390625, 0.0005859375, 0.00078125, 0.0009765625]",0.283,0.922,0.0000,True,0.000781,1.000000,0.402,10,10
20,1.514,41.080,3,0.12,448.969208,0.000977,"[0.0, 0.0001953125, 0.000390625, 0.0005859375, 0.00078125, 0.0009765625]",0.351,0.900,0.0000,True,0.000781,1.000000,0.504,10,10
21,1.491,44.980,2,0.08,395.375092,0.000977,"[0.0, 0.0001953125, 0.000390625, 0.0005859375, 0.00078125, 0.0009765625]",0.386,0.898,0.0000,True,0.000977,1.000000,0.476,10,10
22,1.508,32.510,6,0.24,333.116486,0.001953,"[0.0, 0.000390625, 0.00078125, 0.001171875, 0.0015625, 0.001953125]",0.520,0.856,0.0000,True,0.001563,1.000000,0.704,10,10
23,1.455,45.890,6,0.24,428.814453,0.000977,"[0.0, 0.0001953125, 0.000390625, 0.0005859375, 0.00078125, 0.0009765625]",0.335,0.922,0.0000,True,0.000781,1.000000,0.489,10,10
24,1.446,38.470,6,0.24,303.359772,0.001953,"[0.0, 0.000390625, 0.00078125, 0.001171875, 0.0015625, 0.001953125]",0.474,0.867,0.0000,True,0.001563,1.000000,0.677,10,10
25,1.433,47.470,7,0.28,426.225403,0.000977,"[0.0, 0.0001953125, 0.000390625, 0.0005859375, 0.00078125, 0.0009765625]",0.333,0.918,0.0000,True,0.000781,1.000000,0.531,10,10
26,1.414,46.250,6,0.24,499.898102,0.000977,"[0.0, 0.0001953125, 0.000390625, 0.0005859375, 0.00078125, 0.0009765625]",0.391,0.896,0.0000,True,0.000781,1.000000,0.557,10,10
27,1.422,46.000,7,0.28,384.852936,0.000977,"[0.0, 0.0001953125, 0.000390625, 0.0005859375, 0.00078125, 0.0009765625]",0.301,0.911,0.0000,True,0.000781,1.000000,0.434,10,10
28,1.377,45.210,5,0.2,528.928101,0.000977,"[0.0, 0.0001953125, 0.000390625, 0.0005859375, 0.00078125, 0.0009765625]",0.413,0.888,0.0000,True,0.000781,1.000000,0.663,10,10
