"line_no","round","category","event","numeric_index","numeric_value","sanitized_text"
"1","7","training","t   7: train_loss = 67534.492, test_acc = 9.910","1","7","t   7: train_loss = 67534.492, test_acc = 9.910"
"1","7","training","t   7: train_loss = 67534.492, test_acc = 9.910","2","67534.492","t   7: train_loss = 67534.492, test_acc = 9.910"
"1","7","training","t   7: train_loss = 67534.492, test_acc = 9.910","3","9.910","t   7: train_loss = 67534.492, test_acc = 9.910"
"2","7","general","attack numbers = 8","1","8","attack numbers = 8"
"3","8","FiniteAudit","round=8 checkpoint_promoted_after_benign=True","1","8","[FiniteAudit] round=8 checkpoint_promoted_after_benign=True"
"4","8","general","current iteration attack ratio: 0.32","1","0.32","current iteration attack ratio: 0.32"
"5","8","MOS WARNING","CE logits contain NaN/Inf, using safe fallback","1","NaN","[MOS WARNING] CE logits contain NaN/Inf, using safe fallback"
"5","8","MOS WARNING","CE logits contain NaN/Inf, using safe fallback","2","Inf","[MOS WARNING] CE logits contain NaN/Inf, using safe fallback"
"6","8","MOS-Core","Total parameters: 11,183,582","1","11183582","[MOS-Core] Total parameters: 11,183,582"
"7","8","MOS-Core","Benign clients: 17","1","17","[MOS-Core] Benign clients: 17"
"8","8","MOS-Core","Malicious slots: 8","1","8","[MOS-Core] Malicious slots: 8"
"9","8","MOS-Core","Benign mean norm: 992938523885568.0000","1","992938523885568.0000","[MOS-Core] Benign mean norm: 992938523885568.0000"
"10","8","MOS-Core","Benign std (mean): 491689280.0000","1","491689280.0000","[MOS-Core] Benign std (mean): 491689280.0000"
"11","8","MOS-Core","ce_raw_norm=0.0","1","0.0","[MOS-Core] ce_raw_norm=0.0"
"12","8","MOS-Core","cw_raw_norm=0.0","1","0.0","[MOS-Core] cw_raw_norm=0.0"
"13","8","MOS-Core","ce_valid=False",,,"[MOS-Core] ce_valid=False"
"14","8","MOS-Core","cw_valid=False",,,"[MOS-Core] cw_valid=False"
"15","8","MOS-Core","ce_cw_cosine=nan","1","nan","[MOS-Core] ce_cw_cosine=nan"
"16","8","MOS-Core","combined_pre_norm=0.0","1","0.0","[MOS-Core] combined_pre_norm=0.0"
"17","8","MOS-Core","historical_direction_valid=True",,,"[MOS-Core] historical_direction_valid=True"
"18","8","MOS-Core","historical_direction_norm=1350469117018112.0","1","1350469117018112.0","[MOS-Core] historical_direction_norm=1350469117018112.0"
"19","8","MOS-Core","guidance_history_cosine=0.9711877703666687","1","0.9711877703666687","[MOS-Core] guidance_history_cosine=0.9711877703666687"
"20","8","MOS-Core","guidance_source=cached_last_valid",,,"[MOS-Core] guidance_source=cached_last_valid"
"21","8","MOS-Core","guidance_fallback_used=True",,,"[MOS-Core] guidance_fallback_used=True"
"22","8","MOS-Core","final_guidance_norm=1.000000","1","1.000000","[MOS-Core] final_guidance_norm=1.000000"
"23","8","MOS-Core","Base radial threshold (q=0.95): 925027708960768.0000","1","0.95","[MOS-Core] Base radial threshold (q=0.95): 925027708960768.0000"
"23","8","MOS-Core","Base radial threshold (q=0.95): 925027708960768.0000","2","925027708960768.0000","[MOS-Core] Base radial threshold (q=0.95): 925027708960768.0000"
"24","8","MOS-Core","Attack budget ratio: 1.0","1","1.0","[MOS-Core] Attack budget ratio: 1.0"
"25","8","MOS-Core","current_budget=925027708960768.000000","1","925027708960768.000000","[MOS-Core] current_budget=925027708960768.000000"
"26","8","MOS-Core","current_budget_valid=True",,,"[MOS-Core] current_budget_valid=True"
"27","8","MOS-Core","Initializing constraints...",,,"[MOS-Core] Initializing constraints..."
"28","8","MOS-Core","Enabled constraints: Radial, Sign",,,"[MOS-Core] Enabled constraints: Radial, Sign"
"29","8","MOS-Core","Radial weight: 1.0","1","1.0","[MOS-Core] Radial weight: 1.0"
"30","8","MOS-Core","Sign weight: 0.5, layer_reduce: quantile","1","0.5","[MOS-Core] Sign weight: 0.5, layer_reduce: quantile"
"31","8","MOS-Core","Radial threshold: 925027708960768.0000","1","925027708960768.0000","[MOS-Core]   Radial threshold: 925027708960768.0000"
"32","8","MOS-Core","Sign threshold: 2.5496","1","2.5496","[MOS-Core]   Sign threshold: 2.5496"
"33","8","MOS-Core","Initializing population (size=10)...","1","10","[MOS-Core] Initializing population (size=10)..."
"34","8","MOS-Core","constraint_mode=soft_select",,,"[MOS-Core] constraint_mode=soft_select"
"35","8","MOS-Core","alpha_feasible=0.000000 boundary_width=7.62939e-06 refinements=13 zero_reason=确认无非零可行点","1","0.000000","[MOS-Core] alpha_feasible=0.000000 boundary_width=7.62939e-06 refinements=13 zero_reason=确认无非零可行点"
